id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
129,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",23-05-2022 04:00:00,NO2,27,58,36,NA
130,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",23-05-2022 04:00:00,NH3,1,5,2,NA
131,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",23-05-2022 04:00:00,SO2,2,16,6,NA
132,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",23-05-2022 04:00:00,OZONE,14,121,89,NA
133,India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
134,India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",23-05-2022 04:00:00,PM10,NA,NA,NA,NA
135,India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",23-05-2022 04:00:00,NH3,NA,NA,NA,NA
136,India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",23-05-2022 04:00:00,SO2,NA,NA,NA,NA
137,India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",23-05-2022 04:00:00,OZONE,82,100,90,NA
138,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
139,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",23-05-2022 04:00:00,PM10,NA,NA,NA,NA
140,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",23-05-2022 04:00:00,NO2,NA,NA,NA,NA
141,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",23-05-2022 04:00:00,NH3,NA,NA,NA,NA
142,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",23-05-2022 04:00:00,SO2,NA,NA,NA,NA
143,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",23-05-2022 04:00:00,CO,41,63,51,NA
144,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",23-05-2022 04:00:00,OZONE,131,180,180,NA
145,India,Bihar,Munger,"Town Hall, Munger - BSPCB",23-05-2022 04:00:00,PM2.5,43,207,94,NA
146,India,Bihar,Munger,"Town Hall, Munger - BSPCB",23-05-2022 04:00:00,PM10,51,304,143,NA
147,India,Bihar,Munger,"Town Hall, Munger - BSPCB",23-05-2022 04:00:00,NO2,10,38,22,NA
148,India,Bihar,Munger,"Town Hall, Munger - BSPCB",23-05-2022 04:00:00,NH3,3,5,3,NA
149,India,Bihar,Munger,"Town Hall, Munger - BSPCB",23-05-2022 04:00:00,SO2,10,38,20,NA
150,India,Bihar,Munger,"Town Hall, Munger - BSPCB",23-05-2022 04:00:00,OZONE,27,89,48,NA
151,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",23-05-2022 04:00:00,PM2.5,61,113,85,NA
152,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",23-05-2022 04:00:00,PM10,82,109,95,NA
153,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",23-05-2022 04:00:00,NO2,4,38,19,NA
154,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",23-05-2022 04:00:00,NH3,6,7,7,NA
155,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",23-05-2022 04:00:00,SO2,7,132,18,NA
156,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",23-05-2022 04:00:00,CO,10,31,18,NA
157,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",23-05-2022 04:00:00,OZONE,19,75,63,NA
158,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",23-05-2022 04:00:00,PM2.5,22,159,59,NA
159,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",23-05-2022 04:00:00,NO2,1,5,1,NA
160,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",23-05-2022 04:00:00,SO2,5,10,8,NA
161,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",23-05-2022 04:00:00,CO,14,111,30,NA
162,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",23-05-2022 04:00:00,OZONE,6,12,8,NA
